id,content,command_and_control,infection_propagation,secondary_operation,machine_access_control,anti_detection,exfiltration,data_theft,collection,integrity_violation,persistence,destruction,anti_code_analysis,security_degradation,privilege_escalation,availability_violation,anti_behavioral_analysis,discovery
13,DOMAIN: www.dicemention.com Updated Date: 2013-11-12 18:05:33 Create Date: 2013-09-10 14:35:11 Registrant Name: z x Registrant Organization: z x Registrant Street: xianggangdiqu Registrant City: xianggangdiqu Registrant State: xianggang Registrant Postal Code: 123456 Registrant Country: HK Registrant Phone : +0.0126324313 Registrant Fax: +0.0126324313 Registrant Email: 123@123.com DOMAIN: www.abudlrasul.com Updated Date: 2014-10-16 14:16:27 Create Date: 2014-10-16 14:16:27 Registrant Name: gang xin Registrant Organization: gang xin Registrant Street: Argentina Argentina Registrant City: Argentina Registrant State: Argentina Registrant Postal Code: 647902 Registrant Country: AR Registrant Phone : +54.0899567089 Registrant Fax: +54.0899567089 Registrant Email: woffg89@yahoo.com.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Taking these C&Cs as a starting point, we were able to locate a number of victims infected through various exploit-laden spear-phishing documents and cunningly-named archives.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,A table with a selection of RTF documents and RAR self-extracting archives with a .SCR extension is shown below.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,English File name SHA1 translation Situation Report about 36119221826D0290BC23371B55A8C0E6A84718DD Afghan.doc AGREEMENT BETWEENTHE NATO AND AFGHANISTAN ON THE STATUS OF NATO A6642BC9F3425F0AB93D462002456BE231BB5646 FORCES IN AFGHANISTAN.doc news.doc 51CDC273B5638E06906BCB700335E288807744B5 План деятельности Activity plan for соединений и воинских military units in the EA6EE9EAB546FB9F93B75DCB650AF22A95486391 частей Приволжского Volga region in July региона на июль 2014 г.scr 2014 Telephone directory телефонный справочник of the Ministry of D297DC7D29E42E8D37C951B0B11629051EEBE9C0 структуры МИД КР .scr Foreign Affairs of the Kyrgyz Republic О Центре социальной About the Center for адаптации social adaptation of 8E5E19EBE719EBF7F8BE4290931FFA173E658CB8 военнослужащих.scr servicemen Meeting minutes of Протокол встречи НГШ the General Staff of 1F726E94B90034E7ABD148FE31EBA08774D1506F КНР.scr the PRC исправленный шаблон плана Corrected action A9C627AA09B8CC50A83FF2728A3978492AEB79D8 мероприятий.scr plan template Situation Report about A9C627AA09B8CC50A83FF2728A3978492AEB79D8 Afghan.scr Military and political Военно-политическая situation in Islamic обстановка в ИРА Republic of E32081C56F39EA14DFD1E449C28219D264D80B2F на04.10.2014.scr Afghanistan (IRA) on 04.10.2014 Afghan Air Force.scr E32081C56F39EA14DFD1E449C28219D264D80B2F план мероприятий.scr Action plan 1F726E94B90034E7ABD148FE31EBA08774D1506F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Some of the above-mentioned files also contained decoy documents.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"In all of the cases, three binary files were dropped (apart from decoy documents) that led to the Korplug trojan being loading into memory.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,exe – a legitimate executable with a Kaspersky digital signature that would load a DLL with a specific file name dll – a small DLL loader that would pass execution to the Korplug raw binary code dll.avp – raw Korplug binary.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"The Korplug RAT is known to use this side-loading trick by abusing legitimate digitally signed executables and is a way to stay under the radar, since a trusted application with a valid signature among startup items is less likely to raise suspicion.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,The maliciously crafted documents are RTF files that successfully exploit the CVE-2012-0158 vulnerability in Microsoft Word.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"The image below shows the beginning of the CVE-2012-0158 shellcode in ASCII encoding within the document (the opcodes 60, 55, 8bec disassemble to pusha; push ebp; mov ebp, esp).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Interestingly, though, the documents also contain the newer CVE-2014-1761 exploit that was extensively used in targeted attacks carried out by a number other malware families this year (including BlackEnergy, Sednit, MiniDuke, and others).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"However, this exploit is not implemented correctly due to a wrong file offset in the 1st stage shellcode.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Below we see the disassembly of the 1st stage shellcode where it checks the presence of the tag “p!11” marking the beginning of the 2nd stage shellcode and loads it into memory.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Even though the tag and 2nd stage shellcode is present in the RTF, it’s at a different offset, and thus never is loaded.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Sophos’ Gabor Szappanos gives a possible explanation how these malformed samples may have come into existence.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ESET LiveGrid telemetry indicates that the attacks against these targets have been going on since at least June 2014 and continue through today.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,We were able to pinpoint the targets to residents of the following countries.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Afghanistan Tajikistan Russia Kyrgyzstan Kazakhstan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"From the topics of the files used to spread the malware, as well as from the affected targets, it appears that the attackers are interested in gathering intelligence related to Afghan, Tajik and Russian military and diplomatic subjects.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Interestingly, most of the affected victims have another thing in common – a number of other RATs, file stealing trojans or keyloggers were detected on their systems on top of the Korplug RAT detection.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,One of these ‘alternative RATs’ was connecting to a domain also used by the Korplug samples.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Since the functionality of these tools was partly overlapping with that of Korplug, it left us wondering whether the attackers were just experimenting with different RATs or were they supplementing some functionality that they were unable to accomplish.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Additional information about two malware families that were most often found accompanying Korplug infections is given below.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Alternative Malware #1: DarkStRat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"A curious Remote Access Trojan, as research points to a Chinese connection but the commands it listens to are in Spanish (translation in English).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CERRAR (close) DESINSTALAR (uninstall) SERVIDOR (server) INFO MAININFO PING REBOOT POWEROFF PROC KILLPROC VERUNIDADES (see units) LISTARARCHIVOS (list files) EXEC DELFILE DELFOLDER RENAME MKDIR CAMBIOID (change ID) GETFILE/SENDFILE/RESUMETRANSFER SHELL SERVICIOSLISTAR (list service) INICIARSERVICIO (start service) DETENERSERVICIO (stop service) BORRARSERVICIO (erase service) INSTALARSERVICIO (install service).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"The malware can manage processes and services on the infected machine, transfer files to and from the C&C server, run shell commands, and so on.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,It is written in Delphi and connects to www.dicemention.com.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Some samples contain a digital signature by “Nanning weiwu Technology co.,ltd”.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Alternative Malware #2: File Stealer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"This malware, written in C, and contains several functions for harvesting files off the victim’s hard drive according to criteria set in the configuration file.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,"Apart from doing a recursive sweep of all logical fixed and remote drives, it also continually monitors any attached removable media or network shares by listening to DBT_DEVICEARRIVAL events.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,"In addition to collecting files, the malware attempts to gather saved passwords, history of visited URLs, account information and proxy information from the following applications.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Microsoft Messenger Microsoft Outlook Microsoft Internet Explorer Mozilla Firefox.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,The C&C domains used by this malware are.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,newvinta.com worksware.net.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Some samples of this file stealer detected in these campaigns also contain the signature by “Nanning weiwu Technology co.,ltd” – another indicator that the infections are related.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,List of SHA1 hashes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Korplug: 5DFA79EB89B3A8DDBC55252BD330D04D285F9189 095550E3F0E5D24A59ADD9390E6E17120039355E 5D760403108BDCDCE5C22403387E89EDC2694860 05BFE122F207DF7806EB5E4CE69D3AEC26D74190 548577598A670FFD7770F01B8C8EEFF853C222C7 530D26A9BEEDCCED0C36C54C1BF3CDA28D2B6E62 F6CB6DB20AA8F17769095042790AEB60EECD58B0 EF17B7EC3111949CBDBDEB5E0E15BD2C6E90358F 17CA3BBDDEF164E6493F32C952002E34C55A74F2 973EA910EA3734E45FDE304F20AB6CF067456551 47D78FBFB2EFC3AB9DDC653A0F03D560D972BF67 0B5A7E49987EF2C320864CF205B7048F7032300D E81E0F416752B336396294D24E639AE86D9C6BAA E930D3A2E6B2FFDC7052D7E18F51BD5A765BDB90 Alternative Malware #1: FDD41EB3CBB631F38AC415347E25926E3E3F09B6 457F4FFA2FE1CACFEA53F8F5FF72C3FA61939CCD 5B6D654EB16FC84A212ACF7D5A05A8E8A642CE20 7D59B19BD56E1D2C742C39A2ABA9AC34F6BC58D4 D7D130B8CC9BEA51143F28820F08068521763494 01B4B92D5839ECF3130F5C69652295FE4F2DA0C5 02C38EC1C67098E1F6854D1125D3AED6268540DE Alternative Malware #2: 3A7FB6E819EEC52111693219E604239BD25629E9 BF77D0BA7F3E60B45BD0801979B12BEA703B227B 55EF67AFA2EC2F260B046A901868C48A76BC7B72 A29F64CD7B78E51D0C9FDFBDCBC57CED43A157B2 34754E8B410C9480E1ADFB31A4AA72419056B622 17A2F18C9CCAAA714FD31BE2DE0BC62B2C310D8F 6D99ACEA8323B8797560F7284607DB08ECA616D8 1884A05409C7EF877E0E1AAAEC6BB9D59E065D7C 1FC6FB0D35DCD0517C82ADAEF1A85FFE2AFAB4EE 5860C99E5065A414C91F51B9E8B779D10F40ADC4 7950D5B57FA651CA6FA9180E39B6E8CC1E65B746 Research by: Anton Cherepanov Author Robert Lipovsky, ESET.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"Security news, views and insight from the ESET experts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dino – the latest spying malware from an allegedly French espionage group analyzed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"BY JOAN CALVET POSTED 30 JUN 2015 ­ 11:12AM In this blog we describe a sophisticated backdoor, called Dino by its creators.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"We believe this malicious software has been developed by the Animal Farm espionage group, who also created the infamous Casper, Bunny and Babar malware.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Dino contains interesting technical features, and also a few hints that the developers are French speaking.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Animal Farm is the security industry’s name for a group of attackers first described by Canada’s Communications Security Establishment (CSE) in a set of slides leaked by Edward Snowden in March 2014.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,In those slides CSE assess with “moderate certainty” that this group is a French intelligence agency.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Since then, several examples of malware created by Animal Farm have been found and publicly documented, in particular: Casper, a stealthy first­stage implant, documented by ESET in last March Bunny, a Lua­based backdoor, documented by Marion Marschalek (Cyphort) Babar, an espionage platform, also analyzed by Marion Marschalek The connection between those pieces of malware and the group described in CSE slides has been convincingly established, for example by Paul Rascagnères (G Data).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"In this blog post we add a new piece to the puzzle with Dino, another malicious program belonging to Animal Farm’s arsenal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Introduction.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,The sample of Dino documented in this blog post was used in 2013 against targets in Iran.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"The original means of infection is unknown, though we believe Dino was installed by another program, as it contains an uninstallation command without the corresponding installation procedure.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Given the set of commands it can receive, Dino’s main goal seems to be the exfiltration of files from its targets.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,"The binary’s original name, “Dino.exe”, has been left visible by its authors, as was the case with Casper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Dino – which could be referring to the pet character from The Flintstones cartoon show – was already mentioned in a recent Kaspersky blog as a “full­featured espionage platform,” but no technical analysis has been published yet.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Roughly, Dino can be described as an elaborate backdoor built in a modular fashion.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Among its technical innovations, there is a custom file system to execute commands in a stealthy fashion, and a complex task­ scheduling module working in a similar way to the “cron” Unix command.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,"Interestingly, the binary contains a lot of verbose error messages, allowing us to see Dino’s developers’ choice of wording.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Also, a few technical artefacts suggest that Dino was authored by native French speakers.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Dino Basics.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Modules List.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Dino has been developed in C++ and presents a well­defined modular architecture.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,The following array lists the modules contained in this Dino binary; the module names are those assigned by the developers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Module Name Module Purpose Encrypted on­disk copy for Dino PSM modules CORE Configuration storage CRONTAB Task scheduler File upload and download FMGR manager CMDEXEC Command execution manager Storage queue for commands to CMDEXECQ execute Storage for environment ENVVAR variables.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Data Structure.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Dino heavily relies on a custom data structure named “DataStore” by the Animal Farm developers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"In particular, all Dino’s modules store their content inside this structure, making its understanding one of the keys to analyzing Dino.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"A DataStore is a map from string keys to values of 8 possible types, such as integers or strings.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,The implementation of this data structure is based on a hash table.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"It means that to retrieve the value associated with a key, one has to calculate the hash of the key to locate a bucket from which the value can be retrieved.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Dino’s hash is a one­byte value calculated with a series of XOR operations on the key, and each bucket starts a linked list containing key/value pairs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,The code responsible for retrieving the value associated with a key is shown in Figure 1.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Figure 1.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Finally, DataStore objects can be serialized in a custom format, which begins with the magic word “DxSx”.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,This is used in particular by the PSM module to save the content of Dino modules in an encrypted file.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,"More precisely, when a modification is made to a module’s content in memory, the PSM module saves it as a serialized DataStore.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"When Dino restarts, the module is deserialized from the file and loaded into memory.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Funnily enough, the key serving to encrypt the file on disk is “PsmIsANiceM0du1eWith0SugarInside”.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Configuration.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dino’s configuration is initially stored in a serialized DataStore object contained in a zip archive at the end of the Dino binary.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,At runtime this object is deserialized and stored inside the CORE module.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"We can list the configuration’s content with Dino’s “conf –l CORE” command – described later – which displays on separate rows each key’s name, its associated value and the type of this value: Started:5523F782 QWORD InitialWaitDone:00000001 DWORD InteractiveDelay:00000005 DWORD MaxNothingSaidCount:00000078 DWORD InstallDate: 5523F782 QWORD fields:78537844…[REDACTED]…66B3900 BYTES recID:11173­01­PRS WIDESTR Version:1.2 WIDESTR BD_Keys: 4D41474943424F58…[REDACTED]…9EB3506 BYTES CC_Keys: 4D41474943424F58…[REDACTED]…0000000 BYTES MaxDelay:00000E10 DWORD ComServer0:hXXp://www.azhar.bf/…[REDACTED]…/postal.php STR ComServer1:hXXp://www.rsvniima.org/…[REDACTED]…/din12/postal.php STR ComServer2:hXXp://www.azhar.bf/…[REDACTED]…/postal.php STR ComServer3:hXXp://www.rsvniima.org/…[REDACTED]…/din12/postal.php STR ComServer4:hXXp://dneprorudnoe.info//…[REDACTED]…/postal.php STR ComServer5:hXXp://dneprorudnoe.info//…[REDACTED]…/postal.php STR ComServer6:hXXp://dneprorudnoe.info//…[REDACTED]…/postal.php STR NextSendReceive:5CC33097FB72D001 BYTES CC:000064F7­72E4­3F7D­C817­474D­A9BDBDF7 STR DaysOfLife:00000000 DWORD GUID:12FEB4A9EEDEE411B283000C29FD2872 BYTES InitialDelay:00000000 DWORD now:5523F78E QWORD hash:A88E8181CA5CE35AE70C76145DFB820D BYTES InitialCommands:78537844…[REDACTED]…000000 BYTES xT0rvwz:DC188352A…[REDACTED]…00000 BYTES tr4qa589:K/[RAFtIP?ciD?:D STR jopcft4T:a.ini WIDESTR While most of the keys have self­explanatory names, we would like to focus on the following keys: “recID”: Animal Farms binaries contain an ID whose decimal value appears to identify the target, “11173­01­ PRS” in this case.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"For example Casper used an “ID” value set to “13001”, whereas some Babar samples used “12075­01” and “11162­01”.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,We do not know the meaning of the “PRS” suffix added in the case of Dino.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,“ComServer”: These keys contain the command and control (C&C) servers’ URLs.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,All the URLs were down when we started our analysis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Those C&Cs were compromised legitimate websites, which is standard operating procedure for Animal Farm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"“Version”: Dino’s code version; here set to “1.2”, which is confirmed by the “din12” folder used in one of the C&C URLs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"For the record, a “d13” folder has been seen on another Animal Farm C&C (see “3.7 Calling home” of Marschalek’s Babar report), indicating that Dino version 1.3 has also likely been deployed at some point.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,“BD_Keys” and “CC_Keys” contain cryptographic keys to encrypt the network communications with C&C servers.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Their values start with the word “MAGICBOX”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"The three last keys are displayed with obfuscated names (“xT0rvwz”, “tr4qa589” and “jopcft4T”) and store parameters for the custom file system we will describe later.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Commands.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,The following Table lists the commands accepted by this Dino binary with the names chosen by the developers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Each of those commands can take one or more arguments.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Command Purpose sysinfo Retrieve reconnaissance information from the machine Uninstall Dino using the custom file system (see ramFS killBD description below for details) Execute Windows batch command passed as a ! parameter cd Change the current work directory pwd Retrieve the current work directory path List files in a given directory with various additional dir information Set or remove environment variables stored in the set ENVVAR module conf Display or update module content Search for files whose names match given patterns.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"The files found are packed in an archive, which is then search scheduled for upload to the C&C using the FMGR module.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"archive Create an archive from given file paths unarchive Unpack an archive to a given location Schedule a file transfer to the C&C using the FMGR download module Remove the next file transfer scheduled in the FMGR cancel module cancelall Remove all scheduled file transfers in the FMGR module Schedule a command to be executed at a certain time by cronadd the CRONTAB module (see CRONTAB description below for details) cronlist List registered entries in the CRONTAB module crondel Remove an entry in the CRONTAB module Schedule a wake­up of the malware after a certain wakeup amount of time using the CRONTAB module restart N/A: the command is actually not implemented showip Display the public IP of the infected machine cominfos Display information about the currently used C&C server comallinfos Display information about all known C&C servers Download a file from the currently used C&C server onto wget the machine delayttk Delay the de­installation of the malware, if scheduled.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"One command of particular interest is “search”, which allows the operators to look for files very precisely.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"For example, it can provide all files with a “.doc” extension, the size of which is bigger than 10 kilobytes, and that were modified in the last 3 days.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,We believe this exfiltration of files to be Dino’s end goal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,At startup Dino executes successively the commands stored in the “InitialCommands” field in its configuration; in the sample we analyzed they are.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,sysinfo cominfos !ipconfig /all !ipconfig /displaydns !tracert www.google.com.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Those commands serve as a reconnaissance step for the operators.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Their execution is managed by the CMDEXEC module, the commands being stored in a queue inside the CMDEXECQ module.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,The result is reported to the C&C server.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"After having described Dino’s basics, we are now going to dig into two particularly interesting components; first, a custom file system used by the malware, and then the CRONTAB module in charge of task scheduling.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,RamFS: A Temporary File System.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Dino contains a custom file system named “ramFS” by its developers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"It provides a complex data structure to store files in memory, each of them bearing a name corresponding to filenames used by usual file systems.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,RamFS also comes with a set of custom commands that can be stored in files and executed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"It should be noticed that ramFS is also present in other Animal Farm binaries (see attribution paragraph below), but since we are unaware of previous analysis of ramFS, we are describing our findings here.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Architecture.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"RamFS content is initially stored encrypted in Dino’s configuration under the key “xT0rvwz”, whereas the corresponding RC4 key is stored under the key “tr4qa589”.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Once the file system has been decrypted, it is stored in memory as a linked list of 512­byte memory chunks, each one of them being individually RC4­ encrypted.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"When looking for a file in ramFS, each chunk is decrypted, processed and then re­encrypted.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Hence there are very few noticeable traces of ramFS during its use.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Here are some high­level characteristics of this file system.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"File names and file content are encoded in Unicode File names length is limited to 260 characters Once decrypted, file content is manipulated as chunks of 540 bytes There is no metadata associated with the files We could not find an existing file system matching the memory structures and the characteristics of ramFS, and therefore we believe this file system to be an original creation of the Animal Farm group.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Commands.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"Several commands can be executed in the context of ramFS, as listed in the following Table.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
